Series ID,Region Name,Region Code,01-06-2023
GAGORD9URN,"Gordon County, GA",13129,3.2
GAGRAD1URN,"Grady County, GA",13131,3.4
GAGREE3URN,"Greene County, GA",13133,3.5
GAGWIN7URN,"Gwinnett County, GA",13135,3.2
GAHABE7URN,"Habersham County, GA",13137,3.5
GAHALL0URN,"Hall County, GA",13139,2.7
GAHANC1URN,"Hancock County, GA",13141,5.5
GAHARA3URN,"Haralson County, GA",13143,3.6
GAHARR5URN,"Harris County, GA",13145,3
GAHART7URN,"Hart County, GA",13147,3.3
GAHEAR9URN,"Heard County, GA",13149,3.3
GAHENR1URN,"Henry County, GA",13151,3.8
GAHOUS5URN,"Houston County, GA",13153,3.2
GAIRWI5URN,"Irwin County, GA",13155,4.1
GAJACK7URN,"Jackson County, GA",13157,2.4
GAJASP9URN,"Jasper County, GA",13159,3.2
GAJEFF1URN,"Jeff Davis County, GA",13161,4.8
GAJEFF3URN,"Jefferson County, GA",13163,4.7
GAJENK5URN,"Jenkins County, GA",13165,5.6
GAJOHN7URN,"Johnson County, GA",13167,3.5
GAJONE9URN,"Jones County, GA",13169,3.4
GALAMA1URN,"Lamar County, GA",13171,3.9
GALANI3URN,"Lanier County, GA",13173,4.3
GALAUR5URN,"Laurens County, GA",13175,4.6
GALEEC7URN,"Lee County, GA",13177,3.3
GALIBE9URN,"Liberty County, GA",13179,3.6
GALINC1URN,"Lincoln County, GA",13181,4.1
GALONG3URN,"Long County, GA",13183,3.6
GALOWN5URN,"Lowndes County, GA",13185,4
GALUMP7URN,"Lumpkin County, GA",13187,3.1
GAMCDU9URN,"McDuffie County, GA",13189,4.8
GAMCIN1URN,"McIntosh County, GA",13191,3.3
GAMACO3URN,"Macon County, GA",13193,4.9
GAMADI5URN,"Madison County, GA",13195,3.2
GAMARI7URN,"Marion County, GA",13197,3.7
GAMERI9URN,"Meriwether County, GA",13199,4.1
GAMILL1URN,"Miller County, GA",13201,2.6
GAMITC5URN,"Mitchell County, GA",13205,4
GAMONR7URN,"Monroe County, GA",13207,3.2
GAMONT9URN,"Montgomery County, GA",13209,4.3
GAMORG1URN,"Morgan County, GA",13211,3.2
GAMURR3URN,"Murray County, GA",13213,4
GAMUSC0URN,"Muscogee County, GA",13215,4.5
GANEWT7URN,"Newton County, GA",13217,4.2
GAOCON9URN,"Oconee County, GA",13219,2.9
GAOGLE1URN,"Oglethorpe County, GA",13221,3.1
GAPAUL3URN,"Paulding County, GA",13223,3.2
GAPEAC5URN,"Peach County, GA",13225,4.6
GAPICK7URN,"Pickens County, GA",13227,3
GAPIER9URN,"Pierce County, GA",13229,3.3
GAPIKE1URN,"Pike County, GA",13231,3
GAPOLK3URN,"Polk County, GA",13233,3.7
GAPULA5URN,"Pulaski County, GA",13235,4
GAPUTN7URN,"Putnam County, GA",13237,4
GAQUIT9URN,"Quitman County, GA",13239,5.8
GARABU1URN,"Rabun County, GA",13241,3
GARAND3URN,"Randolph County, GA",13243,4.4
GARICH5URN,"Richmond County, GA",13245,5.2
GAROCK7URN,"Rockdale County, GA",13247,4
GASCHL9URN,"Schley County, GA",13249,3.3
GASCRE1URN,"Screven County, GA",13251,5.5
GASEMI3URN,"Seminole County, GA",13253,4.4
GASPAL5URN,"Spalding County, GA",13255,3.8
GASTEP7URN,"Stephens County, GA",13257,4
GASTEW9URN,"Stewart County, GA",13259,3.5
GASUMT1URN,"Sumter County, GA",13261,5
GATALB3URN,"Talbot County, GA",13263,3.1
GATALI5URN,"Taliaferro County, GA",13265,4
GATATT7URN,"Tattnall County, GA",13267,3.7
GATAYL9URN,"Taylor County, GA",13269,4.6
GATELF1URN,"Telfair County, GA",13271,7.2
GATERR3URN,"Terrell County, GA",13273,4.5
GATHOM5URN,"Thomas County, GA",13275,4.1
GATIFT7URN,"Tift County, GA",13277,3.3
GATOOM9URN,"Toombs County, GA",13279,3.9
GATOWN1URN,"Towns County, GA",13281,4.7
GATREU3URN,"Treutlen County, GA",13283,5
GATROU5URN,"Troup County, GA",13285,3.2
GATURN7URN,"Turner County, GA",13287,4.6
GATWIG9URN,"Twiggs County, GA",13289,5.3
GAUNIO1URN,"Union County, GA",13291,2.9
GAUPSO3URN,"Upson County, GA",13293,3.7
GAWALK0URN,"Walker County, GA",13295,3.4
